Date,Open,High,Low,Volume,Close
2006-04-24,42150,42150,40450,1622302,40600
2006-04-25,40600,40850,40250,1015135,40600
2006-04-26,40200,40400,39900,994265,40400
2006-04-27,40000,40350,40000,1168868,40150
2006-04-28,40100,40150,39450,887223,39700
2006-05-02,39400,39900,38950,632123,39600
2006-05-03,39600,39850,38350,1500566,38350
2006-05-04,38300,39550,38150,1243904,39400
2006-05-08,38300,40050,38150,2047652,39600
2006-05-09,40050,41250,40000,1707276,40800
2006-05-10,40800,40950,39900,542673,40300
2006-05-11,40600,40600,39700,1035044,40300
2006-05-12,40000,40850,39850,1132725,40200
2006-05-15,40000,40000,38700,914493,39300
2006-05-16,39300,39700,38900,619897,39100
2006-05-17,39750,41400,39450,1799337,40900
2006-05-18,39500,40300,39500,1298100,39800
2006-05-19,40200,40650,39500,856200,40500
2006-05-22,40200,40650,39500,857433,40500
2006-05-23,38350,38950,38000,1347213,38950
2006-05-24,38500,38700,38000,1132679,38250
2006-05-25,38000,38050,36900,651516,36900
2006-05-26,37700,37900,36250,843059,36850
2006-05-29,37100,37400,35900,907100,36500
2006-05-30,36050,36450,35300,818421,35500
2006-05-31,37100,37400,35900,1010894,36500
2006-06-01,35750,36750,35300,957671,35850
2006-06-02,36000,36200,35250,998720,36000
2006-06-05,36000,36150,35400,343253,35850
2006-06-07,35850,35850,34150,1047665,34600
2006-06-08,33900,34000,32000,1301858,32000
2006-06-09,32550,33200,31600,1223649,33000
2006-06-12,32700,33150,32500,698425,33000
2006-06-13,29450,31050,28100,4224499,28700
2006-06-14,28700,29650,28500,1478574,29200
2006-06-15,29650,30300,29200,1206523,29400
2006-06-16,30100,31400,30000,1019588,31100
2006-06-19,30600,30650,29250,732342,29450
2006-06-20,29000,29300,27900,1200476,28050
2006-06-21,28300,28750,27650,754876,28550
2006-06-22,29300,29850,29300,1210363,29850
2006-06-23,29700,30350,29450,598498,30350
2006-06-26,30250,32650,29400,1456389,32400
2006-06-27,32850,34650,32800,2175839,34400
2006-06-28,33000,33400,32450,1140807,33150
2006-06-29,33800,34300,33500,987962,33900
2006-06-30,35100,35800,34650,1638370,35500
2006-07-03,35000,35050,34000,1011035,34650
2006-07-04,34700,34750,33000,778100,33000
2006-07-05,32000,33200,31900,943600,32700
2006-07-06,32100,32300,31400,1010100,31600
2006-07-07,32150,32500,31600,754500,31650
2006-07-10,31200,31400,30450,1413400,31000
2006-07-11,30900,32150,30900,885600,31800
2006-07-12,31100,33400,31050,1339500,32300
2006-07-13,31800,31900,30850,897800,31500
2006-07-14,30800,31850,30800,818000,30950
2006-07-18,30950,32150,30800,727900,31800
2006-07-19,31700,32400,31600,1679100,32000
2006-07-20,33500,34300,33250,1640400,33700
2006-07-21,32900,33350,32550,1406745,33200
2006-07-24,32700,32700,31800,695095,32300
2006-07-25,33400,33850,32550,1142812,33200
2006-07-26,33200,33550,32400,1073200,32700
2006-07-27,32800,32800,31950,1330700,32450
2006-07-28,32550,33700,32500,941510,33250
2006-07-31,33900,34100,33600,532641,33700
2006-08-01,34000,34700,33750,886571,34250
2006-08-02,33700,34650,33350,650192,34150
2006-08-03,34300,35650,34300,975746,34750
2006-08-04,35500,35900,35300,681365,35500
2006-08-07,35500,35500,34300,846680,34400
2006-08-08,34100,35000,34100,547879,34850
2006-08-09,34550,35950,34100,826927,35300
2006-08-10,34800,36200,34750,1155619,36000
2006-08-11,36000,36500,35450,1095197,35650
2006-08-14,36000,36200,35450,386529,36000
2006-08-16,36000,37300,36000,997537,37050
2006-08-17,37150,38350,37000,1476124,37750
2006-08-18,38000,39000,37750,1221028,37750
2006-08-21,37750,37850,36700,840400,37000
2006-08-22,36600,37400,36600,492100,36900
2006-08-23,36900,38150,36700,621817,37200
2006-08-24,37000,37000,35750,1296746,36250
2006-08-25,36200,37000,35750,751433,36250
2006-08-28,36300,36750,36050,346491,36650
2006-08-29,36850,37500,36800,545911,37300
2006-08-30,37250,38150,37100,563547,37650
