#Date,Open,High,Low,Volume,Close
2015-04-16,63900,64700,63300,423120,64500
2015-04-17,64000,64900,63500,402171,64900
2015-04-20,65000,67000,63700,889702,66800
2015-04-21,66500,66800,63800,503539,63900
2015-04-22,64300,69300,64200,1176904,69000
2015-04-23,69000,72700,68800,904306,70900
2015-04-24,71800,72800,69100,580041,69900
2015-04-27,71200,71300,68500,352293,69000
2015-04-28,69000,69500,67600,311813,68000
2015-04-29,68600,69200,67000,298228,67400
2015-04-30,67100,68100,66300,251162,66700
2015-05-04,66700,68500,66700,177537,67100
2015-05-06,67100,67900,65600,218606,65700
2015-05-07,65100,67500,65100,163744,66700
2015-05-08,66900,68100,66400,159832,66800
2015-05-11,66900,68600,66800,250365,67600
2015-05-12,66500,67600,66100,182001,66700
2015-05-13,66300,68500,66300,142813,68000
2015-05-14,67400,68400,67400,175947,67600
2015-05-15,67600,67700,65400,161613,65400
2015-05-18,65300,66500,64700,195770,65300
2015-05-19,65300,67300,65300,224670,65400
2015-05-20,65000,65600,63600,355487,64200
2015-05-21,64000,65100,63400,250473,63800
2015-05-22,64000,65900,64000,288943,65400
2015-05-26,65400,65600,63400,345853,64800
2015-05-27,63800,64800,62100,313417,62500
2015-05-28,62600,64100,62600,206489,63300
2015-05-29,62500,63300,62300,344895,62300
2015-06-01,62200,63600,61500,190741,62800
2015-06-02,62800,63500,62200,229976,62300
2015-06-03,62400,63000,61400,178486,62000
2015-06-04,61400,62400,60800,199374,61100
2015-06-05,60800,61100,60100,202522,60400
2015-06-08,60200,61100,59500,144658,60000
2015-06-09,60400,61300,59700,166327,60400
2015-06-10,60800,60900,59700,205274,59800
2015-06-11,60500,60900,59800,197102,60100
2015-06-12,60800,60800,59700,117075,60400
2015-06-15,59500,60500,59200,224728,59700
2015-06-16,59700,60900,59100,231779,59700
2015-06-17,60000,60200,59400,204652,60000
2015-06-18,60300,60400,59400,248075,59700
2015-06-19,59600,61000,59500,259357,60100
2015-06-22,60100,60500,58800,294699,59000
2015-06-23,59500,59600,57800,283798,58000
2015-06-24,58500,60900,58200,268075,60900
2015-06-25,60900,62500,59700,279484,61600
2015-06-26,61300,63200,60400,316046,60900
2015-06-29,60500,60700,59300,134713,59500
