Date,Open,High,Low,Volume,Close
2015-04-20,235500,260000,235000,348965,259500
2015-04-21,261000,261500,253000,156615,254500
2015-04-22,267000,274000,263500,339992,268000
2015-04-23,268000,277000,266000,154215,271000
2015-04-24,273500,280500,265000,193513,271000
2015-04-27,276000,277000,256000,266149,256500
2015-04-28,259000,266500,255500,268160,265000
2015-04-29,268000,273000,252000,288102,256500
2015-04-30,259500,260000,250000,205018,251000
2015-05-04,251000,259000,251000,120072,259000
2015-05-06,259000,259500,250000,128259,254000
2015-05-07,254500,259000,247500,154928,249500
2015-05-08,251000,252000,238500,222678,243000
2015-05-11,248000,256500,247500,169095,253000
2015-05-12,253000,261000,250500,212393,252000
2015-05-13,252000,254000,246000,125288,252000
2015-05-14,251000,251500,234500,344193,235000
2015-05-15,238000,240500,228500,302643,230500
2015-05-18,231500,237000,230500,142355,234500
2015-05-19,235000,242500,228500,209614,238500
2015-05-20,241000,242000,228500,224025,229500
2015-05-21,231000,234000,228000,142652,229500
2015-05-22,233000,241500,233000,266298,241500
2015-05-26,241500,246500,237500,139111,241500
2015-05-27,238000,242500,231500,224798,236500
2015-05-28,238500,242500,237500,146774,240500
2015-05-29,239000,241500,234000,149425,236000
2015-06-01,240000,243000,236500,126044,240500
2015-06-02,242000,244000,239000,133191,241000
2015-06-03,244500,255000,244000,255168,252500
2015-06-04,250500,257000,245000,182180,255000
2015-06-05,251000,260500,249500,176442,254500
2015-06-08,257500,270000,255000,196216,268000
2015-06-09,273000,280000,266500,308093,274000
2015-06-10,280000,282000,275000,152694,275500
2015-06-11,280000,280500,277000,155365,280000
2015-06-12,280500,281500,269000,146457,272000
2015-06-15,270000,281000,266000,96958,275000
2015-06-16,282000,285000,273000,149045,280500
2015-06-17,282000,293000,274500,260654,286000
2015-06-18,290000,303000,286000,338124,300500
2015-06-19,304000,305000,298000,227689,298000
2015-06-22,298000,301000,282000,238490,282000
2015-06-23,285000,286000,275500,245787,281000
2015-06-24,283000,283000,275500,163278,282500
2015-06-25,281500,299000,278500,246625,295500
2015-06-26,295500,297500,288000,139672,292500
2015-06-29,283000,288000,277500,189741,278000
2015-06-30,278500,292500,278000,188376,289000
2015-07-01,293000,302000,290500,174659,300000
2015-07-02,304000,304000,294500,144520,300000
2015-07-03,301000,303000,295500,113989,299500
2015-07-06,293500,297000,279500,141595,279500
2015-07-07,283500,284000,264000,315204,271000
2015-07-08,273500,274000,247000,410250,252000
2015-07-09,247000,255500,240000,433829,254000
2015-07-10,258500,268500,252500,258134,268500
2015-07-13,268500,269000,254000,239547,265000
2015-07-14,267000,269000,260000,146583,262000
2015-07-15,267000,278000,265000,193085,278000
2015-07-16,283500,287000,275500,213243,280000
2015-07-17,283500,286500,280000,91751,283000
2015-07-20,287000,290500,278000,95813,279500
2015-07-21,283000,288500,280500,144985,282500
2015-07-22,283500,288000,280500,92577,283000
2015-07-23,281500,283000,270500,182709,272000
2015-07-24,269500,269500,258500,167676,265000
2015-07-27,261000,265000,255000,137975,255500
2015-07-28,253500,256500,241500,224353,252000
2015-07-29,259000,260000,252000,131149,252500
2015-07-30,256000,271000,256000,174819,262500
2015-07-31,278000,280000,245000,474686,260500
2015-08-03,255000,255000,224000,488854,225000
2015-08-04,222000,236500,221500,327643,232500
2015-08-05,230500,244000,230000,173801,243500
2015-08-06,242500,248000,238000,116881,242500
2015-08-07,243500,243500,234500,98207,240500
2015-08-10,240500,241500,223500,203657,225000
2015-08-11,232000,242000,230500,218391,232000
2015-08-12,225000,232500,221000,221358,228500
2015-08-13,233500,241000,229500,140296,238500
2015-08-14,238500,238500,238500,0,238500
2015-08-17,239500,243000,237500,107188,240500
2015-08-18,240500,241000,230000,103377,230000
2015-08-19,231000,232000,220500,185134,227000
2015-08-20,224500,231500,223500,163404,227000
2015-08-21,222500,233500,216000,235591,227500
2015-08-24,220000,228500,216500,221102,223000
2015-08-25,220500,225000,212000,342485,221000
2015-08-26,223000,233000,218000,216418,231500
2015-08-27,231500,241000,230000,200293,235500
2015-08-28,257500,258000,245500,260784,247500
2015-08-31,247500,250000,245000,152280,247000
2015-09-01,252000,256500,248000,177865,251000
2015-09-02,241000,246000,235500,205461,243000
2015-09-03,247000,249500,236500,108382,239000
2015-09-04,239000,247000,239000,140995,242000
2015-09-07,239000,245500,238000,101708,242000
2015-09-08,242500,244000,231000,136887,233000
2015-09-09,237000,253000,235500,233465,252500
2015-09-10,247000,255500,247000,163123,255500
2015-09-11,256500,266000,252500,120576,261500
